ID,Name,Track_ID,Traction_Power_Supply_Equipment_ID,Third_Rail,Kp_BeginValue,Kp_BeginCorrected_Trolley_Value,Kp_EndValue,Kp_EndCorrected_Trolley_Value
1,POS_3B_ITW_MBB,TR_3B_ASW_ITW,TPSE_1,true,1020501,0,1110333,0
2,POS_3B_MBE_ASW,TR_3B_ASW_ITW,TPSE_1,true,1113657,0,1875526,0
3,POS_1719_HVW_HDS,TR_I_1719_HDS,TPSE_1,true,0,0,5342,0
1001,POS_7A_ND_ZD,TR_7A_ND_ZD,TPSE_1,true,619136,994,1634912,0
1002,POS_8_ND_ZD,TR_8_ND_ZD,TPSE_1,true,624287,1017,1573500,150
1003,POS_3207_ND,TR_S_EOT_3207_ND,TPSE_1,true,611840,602,642885,-740
1004,POS_3213_ND,TR_S_EOT_3213_ND,TPSE_1,true,608956,3410,651476,2
1005,POS_3211_ND,TR_S_EOT_3211_ND,TPSE_1,true,610523,1839,651476,8
1006,POS_3205_ND,TR_S_EOT_3205_ND,TPSE_1,true,624736,517,641411,748
1007,POS_3201_ND,TR_I_3201_ND,TPSE_1,true,0,-600,2845,0
1008,POS_3203_ND,TR_I_3203_ND,TPSE_1,true,0,-600,2831,0
1009,POS_3223_ND,TR_I_3223_ND,TPSE_1,true,0,0,20235,0
1010,POS_3225_ND,TR_I_3225_ND,TPSE_1,true,0,0,12414,0
1011,POS_3255_CSN,TR_I_3255_CSN,TPSE_1,true,0,0,5310,-2
1012,POS_3257_CSN,TR_I_3257_CSN,TPSE_1,true,0,0,5306,7
1013,POS_3273_CSN,TR_I_3273_CSN,TPSE_1,true,0,0,6474,15
1014,POS_3277_CSN,TR_S_EOT_3277_CSN,TPSE_1,true,918512,417,943517,67
1015,POS_3313_CSN,TR_I_3313_CSN,TPSE_1,true,0,0,6066,5
1016,POS_3309_CSN,TR_I_3309_CSN,TPSE_1,true,0,0,6064,6
1017,POS_3423_VZG,TR_I_3423_VZG,TPSE_1,true,0,0,8300,-33
1018,POS_3421_VZG,TR_I_3421_VZG,TPSE_1,true,0,0,8300,88
1019,POS_3503_ZD,TR_I_3503_ZD,TPSE_1,true,0,0,5700,-121
1020,POS_3501_ZD,TR_I_3501_ZD,TPSE_1,true,0,0,5700,-115
