ID,Name,Track_Type,Kp_BeginValue,Kp_BeginCorrected_Trolley_Value,Kp_EndValue,Kp_EndCorrected_Trolley_Value,UEVOL_Territory,Loop,Kp_Begin_LoopValue,Kp_Begin_LoopCorrected_Trolley_Value,Kp_End_LoopValue,Kp_End_LoopCorrected_Trolley_Value,Level,Driverless_Horn_Activation,Origin_Track_Survey
1,TR_3B_ASW_ITW,Mainline,1020501,0,1875526,0,true,false,0,0,0,0,3,false,true
2,TR_3C_ITW_ITW,Mainline,1875525,0,1900775,0,true,false,0,0,0,0,2,false,false
3,TR_4B_ASW_ITW,Mainline,1025964,5,1880000,2010,true,false,0,0,0,0,10,false,true
4,TR_I_1637_VLN,Inter-Track,0,0,5531,0,true,false,0,0,0,0,0,false,false
5,TR_I_1635_VLN,Inter-Track,0,0,5530,0,true,false,0,0,0,0,0,false,false
6,TR_I_1651_VLN,Inter-Track,0,0,5340,0,true,false,0,0,0,0,0,false,false
7,TR_I_1653_VLN,Inter-Track,0,0,5339,0,true,false,0,0,0,0,0,false,false
8,TR_I_1687_HDS,Inter-Track,0,0,8719,0,true,false,0,0,0,0,0,false,false
9,TR_I_1695_HDS,Inter-Track,0,0,7960,0,true,false,0,0,0,0,0,false,false
10,TR_I_1719_HDS,Inter-Track,0,0,5342,0,true,false,0,0,0,0,0,false,false
11,TR_I_1721_HDS,Inter-Track,0,0,5340,0,true,false,0,0,0,0,0,false,false
12,TR_I_1775_ZD,Inter-Track,0,0,5338,0,true,false,0,0,0,0,0,false,false
13,TR_I_1773_ZD,Inter-Track,0,0,5337,0,true,false,0,0,0,0,0,false,false
14,TR_I_1615_ITW,Inter-Track,0,0,13577,0,true,false,0,0,0,0,0,false,false
15,TR_I_1617_ITW,Inter-Track,0,0,5581,0,true,false,0,0,0,0,0,false,false
16,TR_S_1697_HDS,Siding,1412129,0,1444947,0,true,false,0,0,0,0,7,false,false
20,TR_S_1921_ZD,Siding,972804,0,1026985,0,true,false,0,0,0,0,5,false,false
22,TR_S_1915_ZD,Siding,927267,0,981991,0,true,false,0,0,0,0,8,false,false
24,TR_S_EOT_1529_ITW,Siding,1860477,0,1878449,0,true,false,0,0,0,0,2,false,false
25,TR_S_1505_EOT_ITW,Siding,1884283,0,1900871,0,true,false,0,0,0,0,3,false,false
26,TR_S_1531_EOT_ITW,Siding,1878449,0,1900858,0,true,false,0,0,0,0,7,false,false
28,TR_S_1509_EOT_ITW,Siding,1886988,0,1903575,0,true,false,0,0,0,0,12,false,false
29,TR_I_1513_ITW,Inter-Track,0,0,3498,0,true,false,0,0,0,0,0,false,false
30,TR_I_1511_ITW,Inter-Track,0,0,3498,0,true,false,0,0,0,0,0,false,false
31,TR_I_1523_ITW,Inter-Track,0,0,3368,0,true,false,0,0,0,0,0,false,false
32,TR_S_EOT_1521_ITW,Siding,1857442,0,1876207,0,true,false,0,0,0,0,14,false,false
33,TR_I_1501_ITW,Inter-Track,0,0,3034,0,true,false,0,0,0,0,0,false,false
34,TR_S_ITW1_ITW,Siding,1851648,0,1899600,0,true,false,0,0,0,0,1,false,false
35,TR_S_ITW2_ITW,Siding,1862392,0,1903563,0,true,false,0,0,0,0,12,false,false
36,TR_S_ITW3_ITW,Siding,1858746,0,1896799,0,true,false,0,0,0,0,13,false,false
1001,TR_7A_ND_ZD,Mainline,619136,994,1634912,0,true,false,0,0,0,0,66,false,false
1002,TR_8_ND_ZD,Mainline,624287,1017,1573500,150,true,false,0,0,0,0,76,false,false
1003,TR_S_EOT_3207_ND,Siding,611840,602,642885,-740,true,false,0,0,0,0,68,false,false
1004,TR_S_EOT_3213_ND,Siding,608956,3410,651476,2,true,false,0,0,0,0,70,false,false
1005,TR_S_EOT_3211_ND,Siding,610523,1839,651476,8,true,false,0,0,0,0,72,false,false
1006,TR_S_EOT_3205_ND,Siding,624736,517,641411,748,true,false,0,0,0,0,74,false,false
1007,TR_I_3201_ND,Inter-Track,0,-600,2845,0,true,false,0,0,0,0,0,false,false
1008,TR_I_3203_ND,Inter-Track,0,-600,2831,0,true,false,0,0,0,0,0,false,false
1009,TR_I_3223_ND,Inter-Track,0,0,20235,0,true,false,0,0,0,0,0,false,false
1010,TR_I_3225_ND,Inter-Track,0,0,12414,0,true,false,0,0,0,0,0,false,false
1011,TR_I_3255_CSN,Inter-Track,0,0,5310,-2,true,false,0,0,0,0,0,false,false
1012,TR_I_3257_CSN,Inter-Track,0,0,5306,7,true,false,0,0,0,0,0,false,false
1013,TR_I_3273_CSN,Inter-Track,0,0,6474,15,true,false,0,0,0,0,0,false,false
1014,TR_S_EOT_3277_CSN,Siding,918512,417,943517,67,true,false,0,0,0,0,70,false,false
1015,TR_I_3313_CSN,Inter-Track,0,0,6066,5,true,false,0,0,0,0,0,false,false
1016,TR_I_3309_CSN,Inter-Track,0,0,6064,6,true,false,0,0,0,0,0,false,false
1017,TR_I_3423_VZG,Inter-Track,0,0,8300,-33,true,false,0,0,0,0,0,false,false
1018,TR_I_3421_VZG,Inter-Track,0,0,8300,88,true,false,0,0,0,0,0,false,false
1019,TR_I_3503_ZD,Inter-Track,0,0,5700,-121,true,false,0,0,0,0,0,false,false
